order_id,customer_id,order_date,product_id,quantity,price,status,city
1,101,2024-01-01,1001,2,49.99,completed,Bangalore
2,102,2024-01-01,1002,1,299.00,completed,Mumbai
3,101,2024-01-02,1001,1,49.99,completed,Bangalore
4,103,2024-01-02,1003,3,29.99,pending,Delhi
5,102,2024-01-03,1002,1,299.00,completed,Mumbai
6,104,2024-01-03,1004,1,999.00,cancelled,Chennai
7,101,2024-01-04,1003,2,29.99,completed,Bangalore
8,105,2024-01-04,1001,4,49.99,completed,Pune
9,102,2024-01-05,1005,1,599.00,completed,Mumbai
10,103,2024-01-05,1002,2,299.00,completed,Delhi
11,106,2024-01-06,1006,1,1499.00,completed,Hyderabad
12,101,2024-01-06,1004,1,999.00,completed,Bangalore
13,107,2024-01-07,1001,1,49.99,pending,Kolkata
14,102,2024-01-07,1003,5,29.99,completed,Mumbai
15,108,2024-01-08,1007,2,79.99,completed,Ahmedabad
16,101,2024-01-08,1005,1,599.00,completed,Bangalore
17,109,2024-01-09,1002,1,299.00,cancelled,Jaipur
18,102,2024-01-09,1001,3,49.99,completed,Mumbai
19,110,2024-01-10,1008,1,199.00,completed,Lucknow
20,101,2024-01-10,1006,1,1499.00,completed,Bangalore
